loan_product,interest_rate,apr,loan_term_years,lender_name,updated_date,mortgageType
30-Year Fixed Rate,6.76%,6.82%,30,Bankrate,2025-07-30,Purchase
20-Year Fixed Rate,6.49%,6.61%,20,Bankrate,2025-07-30,Purchase
15-Year Fixed Rate,5.99%,6.08%,15,Bankrate,2025-07-30,Purchase
10-Year Fixed Rate,5.91%,6.00%,10,Bankrate,2025-07-30,Purchase
30-Year Fixed Rate FHA,6.89%,6.96%,30,Bankrate,2025-07-30,Purchase
30-Year Fixed Rate VA,7.14%,7.19%,30,Bankrate,2025-07-30,Purchase
30-Year Fixed Rate Jumbo,6.75%,6.80%,30,Bankrate,2025-07-30,Purchase

30-Year Fixed Rate,6.74%,6.81%,30,Bankrate,2025-08-04,Purchase
20-Year Fixed Rate,6.51%,6.60%,20,Bankrate,2025-08-04,Purchase
15-Year Fixed Rate,5.99%,6.09%,15,Bankrate,2025-08-04,Purchase
10-Year Fixed Rate,6.14%,6.25%,10,Bankrate,2025-08-04,Purchase
30-Year Fixed Rate FHA,6.70%,6.75%,30,Bankrate,2025-08-04,Purchase
30-Year Fixed Rate VA,6.73%,6.78%,30,Bankrate,2025-08-04,Purchase
30-Year Fixed Rate Jumbo,6.74%,6.79%,30,Bankrate,2025-08-04,Purchase
